Entity,Code,Year,Prevalence
France,FRA,1997,1.839172011
France,FRA,1998,1.877139032
France,FRA,1999,1.905737826
France,FRA,2000,1.917706056
France,FRA,2001,1.953681727
France,FRA,2002,1.997258344
France,FRA,2003,2.033909271
France,FRA,2004,2.042133794
France,FRA,2005,2.0681247
France,FRA,2006,2.079215238
France,FRA,2007,2.084434842
France,FRA,2008,2.11185652
France,FRA,2009,2.13739619
France,FRA,2010,2.138846943
France,FRA,2011,2.132507265
France,FRA,2012,2.123743601
France,FRA,2013,2.124391747
France,FRA,2014,2.122250897
France,FRA,2015,2.122571564
France,FRA,2016,2.106999515
France,FRA,2017,2.091774092
Mexico,MEX,1990,0.62691981
Mexico,MEX,1991,0.645038267
Mexico,MEX,1992,0.668862245
Mexico,MEX,1993,0.69230064
Mexico,MEX,1994,0.711490297
Mexico,MEX,1995,0.729727066
Mexico,MEX,1996,0.738584684
Mexico,MEX,1997,0.750639108
Mexico,MEX,1998,0.761979946
Mexico,MEX,1999,0.767740427
Mexico,MEX,2000,0.768463194
Mexico,MEX,2001,0.772110872
Mexico,MEX,2002,0.78091963
Mexico,MEX,2003,0.788141739
Mexico,MEX,2004,0.789329681
Mexico,MEX,2005,0.799949327
Mexico,MEX,2006,0.800728655
Mexico,MEX,2007,0.8034163
Mexico,MEX,2008,0.818014687
Mexico,MEX,2009,0.832028275
Mexico,MEX,2010,0.829163196
Mexico,MEX,2011,0.829977119
Mexico,MEX,2012,0.839585275
Mexico,MEX,2013,0.853096069
Mexico,MEX,2014,0.86648459
Mexico,MEX,2015,0.873803508
Mexico,MEX,2016,0.886587343
Mexico,MEX,2017,0.894715491
Nepal,NPL,1990,0.245677507
Nepal,NPL,1991,0.24208874
Nepal,NPL,1992,0.237241017
Nepal,NPL,1993,0.233463316
Nepal,NPL,1994,0.228100916
Nepal,NPL,1995,0.222255169
Nepal,NPL,1996,0.216558816
Nepal,NPL,1997,0.21084477
Nepal,NPL,1998,0.206165505
Nepal,NPL,1999,0.200992971
Nepal,NPL,2000,0.196885421
Nepal,NPL,2001,0.192645247
Nepal,NPL,2002,0.191554702
Nepal,NPL,2003,0.191387881
Nepal,NPL,2004,0.192185506
Nepal,NPL,2005,0.195462728
Nepal,NPL,2006,0.198331237
Nepal,NPL,2007,0.202718999
Nepal,NPL,2008,0.207738814
Nepal,NPL,2009,0.212200901
Nepal,NPL,2010,0.216774107
Nepal,NPL,2011,0.222819863
Nepal,NPL,2012,0.230182805
Nepal,NPL,2013,0.235897915
Nepal,NPL,2014,0.241411894
Nepal,NPL,2015,0.247872811
Nepal,NPL,2016,0.253810881
Nepal,NPL,2017,0.258782806
Romania,ROU,1990,1.117761809
Romania,ROU,1991,1.137418176
Romania,ROU,1992,1.165885828
Romania,ROU,1993,1.187024245
Romania,ROU,1994,1.209399372
Romania,ROU,1995,1.235225681
Romania,ROU,1996,1.268184302
Romania,ROU,1997,1.284356947
Romania,ROU,1998,1.286312325
Romania,ROU,1999,1.290915892
Romania,ROU,2000,1.303731204
Romania,ROU,2001,1.332959196
Romania,ROU,2002,1.364622943
Romania,ROU,2003,1.384489289
Romania,ROU,2004,1.394962301
Romania,ROU,2005,1.412409195
Romania,ROU,2006,1.419824573
Romania,ROU,2007,1.435192879
Romania,ROU,2008,1.465127806
Romania,ROU,2009,1.497297685
Romania,ROU,2010,1.516163724
Romania,ROU,2011,1.507889649
Romania,ROU,2012,1.536620839
Romania,ROU,2013,1.562922068
Romania,ROU,2014,1.583598967
Romania,ROU,2015,1.596513645
Romania,ROU,2016,1.617725661
Romania,ROU,2017,1.633056952
South Africa,ZAF,1990,0.509721966
South Africa,ZAF,1991,0.51234407
South Africa,ZAF,1992,0.528898597
South Africa,ZAF,1993,0.52098969
South Africa,ZAF,1994,0.538561841
South Africa,ZAF,1995,0.537554845
South Africa,ZAF,1996,0.561594216
South Africa,ZAF,1997,0.598421468
South Africa,ZAF,1998,0.615698497
South Africa,ZAF,1999,0.633334162
South Africa,ZAF,2000,0.662805386
South Africa,ZAF,2001,0.653830035
South Africa,ZAF,2002,0.656128134
South Africa,ZAF,2003,0.654636971
South Africa,ZAF,2004,0.646983766
South Africa,ZAF,2005,0.634897914
South Africa,ZAF,2006,0.62430749
South Africa,ZAF,2007,0.605967904
South Africa,ZAF,2008,0.589930607
South Africa,ZAF,2009,0.571542397
South Africa,ZAF,2010,0.552582148
South Africa,ZAF,2011,0.537115789
South Africa,ZAF,2012,0.530032686
South Africa,ZAF,2013,0.529324288
South Africa,ZAF,2014,0.53475002
South Africa,ZAF,2015,0.545330779
South Africa,ZAF,2016,0.556560206
South Africa,ZAF,2017,0.556269555
Spain,ESP,1990,1.504391421
Spain,ESP,1991,1.565767927
Spain,ESP,1992,1.613858795
Spain,ESP,1993,1.662848617
Spain,ESP,1994,1.709491713
Spain,ESP,1995,1.747637318
Spain,ESP,1996,1.783574525
Spain,ESP,1997,1.807901782
Spain,ESP,1998,1.841285033
Spain,ESP,1999,1.873728424
Spain,ESP,2000,1.880960455
Spain,ESP,2001,1.904523789
Spain,ESP,2002,1.935155304
Spain,ESP,2003,1.977593624
Spain,ESP,2004,1.988276804
Spain,ESP,2005,2.003367995
Spain,ESP,2006,2.014496707
Spain,ESP,2007,2.048846016
Spain,ESP,2008,2.083554696
Spain,ESP,2009,2.10338197
Spain,ESP,2010,2.111222273
Spain,ESP,2011,2.125880986
Spain,ESP,2012,2.129744869
Spain,ESP,2013,2.132971855
Spain,ESP,2014,2.143083952
Spain,ESP,2015,2.153954419
Spain,ESP,2016,2.135662442
Spain,ESP,2017,2.119853473
Sweden,SWE,1990,1.939681616
Sweden,SWE,1991,1.970769798
Sweden,SWE,1992,1.996304528
Sweden,SWE,1993,2.030895058
Sweden,SWE,1994,2.035851208
Sweden,SWE,1995,2.058740928
Sweden,SWE,1996,2.078151458
Sweden,SWE,1997,2.107144135
Sweden,SWE,1998,2.150274806
Sweden,SWE,1999,2.196071304
Sweden,SWE,2000,2.22298957
Sweden,SWE,2001,2.255652405
Sweden,SWE,2002,2.292743922
Sweden,SWE,2003,2.344214781
Sweden,SWE,2004,2.414629417
Sweden,SWE,2005,2.41256978
Sweden,SWE,2006,2.427703611
Sweden,SWE,2007,2.448089942
Sweden,SWE,2008,2.472942316
Sweden,SWE,2009,2.489989227
Sweden,SWE,2010,2.480129508
Sweden,SWE,2011,2.486088829
Sweden,SWE,2012,2.492024321
Sweden,SWE,2013,2.496862494
Sweden,SWE,2014,2.492850199
Sweden,SWE,2015,2.484957808
Sweden,SWE,2016,2.46031695
Sweden,SWE,2017,2.433869445
United Kingdom,GBR,1990,1.97074513
United Kingdom,GBR,1991,2.012251338
United Kingdom,GBR,1992,2.052185634
United Kingdom,GBR,1993,2.101779079
United Kingdom,GBR,1994,2.12521126
United Kingdom,GBR,1995,2.160037554
United Kingdom,GBR,1996,2.179629137
United Kingdom,GBR,1997,2.19556398
United Kingdom,GBR,1998,2.228331301
United Kingdom,GBR,1999,2.257982143
United Kingdom,GBR,2000,2.278350356
United Kingdom,GBR,2001,2.304630042
United Kingdom,GBR,2002,2.342330436
United Kingdom,GBR,2003,2.377467035
United Kingdom,GBR,2004,2.38661804
United Kingdom,GBR,2005,2.405670229
United Kingdom,GBR,2006,2.44959463
United Kingdom,GBR,2007,2.483560546
United Kingdom,GBR,2008,2.533396472
United Kingdom,GBR,2009,2.557276401
United Kingdom,GBR,2010,2.581240571
United Kingdom,GBR,2011,2.585585407
United Kingdom,GBR,2012,2.610016352
United Kingdom,GBR,2013,2.668767777
United Kingdom,GBR,2014,2.695819882
United Kingdom,GBR,2015,2.734724563
United Kingdom,GBR,2016,2.774225721
United Kingdom,GBR,2017,2.791155517
United States,USA,1990,4.852792093
United States,USA,1991,4.940159583
United States,USA,1992,5.019523243
United States,USA,1993,5.106994215
United States,USA,1994,5.160913166
United States,USA,1995,5.200514272
United States,USA,1996,5.190669617
United States,USA,1997,5.141232971
United States,USA,1998,5.075782776
United States,USA,1999,5.031554742
United States,USA,2000,5.020474928
United States,USA,2001,5.043646718
United States,USA,2002,5.088417171
United States,USA,2003,5.124804586
United States,USA,2004,5.145186764
United States,USA,2005,5.164942444
United States,USA,2006,5.175781155
United States,USA,2007,5.216547505
United States,USA,2008,5.276116914
United States,USA,2009,5.336933653
United States,USA,2010,5.358953641
United States,USA,2011,5.373411431
United States,USA,2012,5.374811749
United States,USA,2013,5.375621513
United States,USA,2014,5.377867777
United States,USA,2015,5.38784224
United States,USA,2016,5.416236441
United States,USA,2017,5.42440701
